"recipient_code","recipient_name","iso3","wb_name","gbd_location_name","continent","continent_name","region","region_name","subregion","subregion_name","has_worldbank_data","has_gbd_data","no_data_reason","source_12262","source_12263","source_13040","source_51010"
"NER","Niger","NER","Niger","Niger","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"NGA","Nigeria","NGA","Nigeria","Nigeria","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"NIU","Niue",,,"Niue","O","Oceania","O9","Polynesia","NIU","Niue",FALSE,TRUE,"small territory, not a World Bank economy","own","own","own","regional (region)"
"MKD","North Macedonia","MKD","North Macedonia","North Macedonia","E","Europe","MKD","North Macedonia","MKD","North Macedonia",TRUE,TRUE,,"own","own","own","own"
"MNP","Northern Mariana Islands","MNP","Northern Mariana Islands","Northern Mariana Islands","O","Oceania","O8","Micronesia","MNP","Northern Mariana Islands",TRUE,TRUE,,"own","own","own","regional (region)"
"OMN","Oman","OMN","Oman","Oman","S","Asia","F97","Middle East","OMN","Oman",TRUE,TRUE,,"own","own","own","own"
"PAK","Pakistan","PAK","Pakistan","Pakistan","S","Asia","S4_S7","Southern and Central Asia","PAK","Pakistan",TRUE,TRUE,,"own","own","own","own"
"PLW","Palau","PLW","Palau","Palau","O","Oceania","O8","Micronesia","PLW","Palau",TRUE,TRUE,,"own","own","own","own"
"PSE","Palestinian Authority or West Bank and Gaza Strip","PSE","West Bank and Gaza","Palestine","S","Asia","F97","Middle East","PSE","Palestinian Authority or West Bank and Gaza Strip",TRUE,TRUE,,"own","own","own","own"
"PAN","Panama","PAN","Panama","Panama","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
"PNG","Papua New Guinea","PNG","Papua New Guinea","Papua New Guinea","O","Oceania","O7","Melanesia","PNG","Papua New Guinea",TRUE,TRUE,,"own","own","own","own"
"PRY","Paraguay","PRY","Paraguay","Paraguay","A","America","A7","South America","PRY","Paraguay",TRUE,TRUE,,"own","own","own","own"
"PER","Peru","PER","Peru","Peru","A","America","A7","South America","PER","Peru",TRUE,TRUE,,"own","own","own","own"
"PHL","Philippines","PHL","Philippines","Philippines","S","Asia","S97","Far East Asia","PHL","Philippines",TRUE,TRUE,,"own","own","own","own"
"QAT","Qatar","QAT","Qatar","Qatar","S","Asia","F97","Middle East","QAT","Qatar",TRUE,TRUE,,"own","own","own","own"
"RWA","Rwanda","RWA","Rwanda","Rwanda","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"SHN","Saint Helena",,,,"F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",FALSE,FALSE,"small territory, not a World Bank economy","regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"KNA","Saint Kitts and Nevis","KNA","St. Kitts and Nevis","Saint Kitts and Nevis","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"LCA","Saint Lucia","LCA","St. Lucia","Saint Lucia","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"VCT","Saint Vincent and the Grenadines","VCT","St. Vincent and the Grenadines","Saint Vincent and the Grenadines","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"WSM","Samoa","WSM","Samoa","Samoa","O","Oceania","O9","Polynesia","WSM","Samoa",TRUE,TRUE,,"own","own","own","own"
"STP","Sao Tome and Principe","STP","Sao Tome and Principe","Sao Tome and Principe","F","Africa","F6","Sub-Saharan Africa","F5","Middle Africa",TRUE,TRUE,,"own","own","own","own"
"SAU","Saudi Arabia","SAU","Saudi Arabia","Saudi Arabia","S","Asia","F97","Middle East","SAU","Saudi Arabia",TRUE,TRUE,,"own","own","own","own"
"SEN","Senegal","SEN","Senegal","Senegal","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"SRB","Serbia","SRB","Serbia","Serbia","E","Europe","SRB","Serbia","SRB","Serbia",TRUE,TRUE,,"own","own","own","own"
"SYC","Seychelles","SYC","Seychelles","Seychelles","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"SLE","Sierra Leone","SLE","Sierra Leone","Sierra Leone","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"SGP","Singapore","SGP","Singapore","Singapore","S","Asia","S97","Far East Asia","SGP","Singapore",TRUE,TRUE,,"own","own","own","own"
"SXM","Sint Maarten","SXM","Sint Maarten (Dutch part)",,"A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,FALSE,,"regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"SVN","Slovenia","SVN","Slovenia","Slovenia","E","Europe","SVN","Slovenia","SVN","Slovenia",TRUE,TRUE,,"own","own","own","own"
"SLB","Solomon Islands","SLB","Solomon Islands","Solomon Islands","O","Oceania","O7","Melanesia","SLB","Solomon Islands",TRUE,TRUE,,"own","own","own","own"
"SOM","Somalia","SOM","Somalia, Fed. Rep.","Somalia","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"ZAF","South Africa","ZAF","South Africa","South Africa","F","Africa","F6","Sub-Saharan Africa","F7","Southern Africa",TRUE,TRUE,,"own","own","own","own"
"SSD","South Sudan","SSD","South Sudan","South Sudan","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"LKA","Sri Lanka","LKA","Sri Lanka","Sri Lanka","S","Asia","S4_S7","Southern and Central Asia","LKA","Sri Lanka",TRUE,TRUE,,"own","own","own","own"
"SDN","Sudan","SDN","Sudan","Sudan","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"SUR","Suriname","SUR","Suriname","Suriname","A","America","A7","South America","SUR","Suriname",TRUE,TRUE,,"own","own","own","own"
"SYR","Syrian Arab Republic","SYR","Syrian Arab Republic","Syrian Arab Republic","S","Asia","F97","Middle East","SYR","Syrian Arab Republic",TRUE,TRUE,,"own","own","own","own"
"TJK","Tajikistan","TJK","Tajikistan","Tajikistan","S","Asia","S4_S7","Southern and Central Asia","TJK","Tajikistan",TRUE,TRUE,,"own","own","own","own"
"TZA","Tanzania","TZA","Tanzania","United Republic of Tanzania","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"THA","Thailand","THA","Thailand","Thailand","S","Asia","S97","Far East Asia","THA","Thailand",TRUE,TRUE,,"own","own","own","own"
"TLS","Timor-Leste","TLS","Timor-Leste","Timor-Leste","S","Asia","S97","Far East Asia","TLS","Timor-Leste",TRUE,TRUE,,"own","own","own","own"
"TGO","Togo","TGO","Togo","Togo","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"TKL","Tokelau",,,"Tokelau","O","Oceania","O9","Polynesia","TKL","Tokelau",FALSE,TRUE,"small territory, not a World Bank economy","own","own","own","regional (region)"
